truth	split	pph2_class	pph2_prob	dScore	Score1	Nobs	NormASA	dVol	dProp	Bfact	CpG	IdPmax	IdQmin	PFamHitBool
n	validation	neutral	0.274	+2.655	-1.565	235	0.483	-20	1.03	2.98	1	0.924	92.60	0
n	training	neutral	0.002	+0.075	-1.953	215	0.012	3	0.14	-0.67		29.763	93.97	1
n	training	neutral	0.001	+0.056	-2.420	176	0.271	9	0.47	-0.57		33.463	94.52	1
n	training	neutral	0.001	+0.075	-1.953	176	0.317	3	0.14	-0.82		29.590	94.52	1
n	training	neutral	0	-0.140	-1.730	177	0.792	23	0.25	3.04		46.491	93.97	1
n	training	neutral	0.004	+0.312	-1.517	177	0.361	-23	0.03	1.32		34.671	92.33	1
n	training	neutral	0.001	+0.056	-2.420	206						33.269	93.97	1
n	training	neutral	0.001	+0.075	-1.953	206		3	0.14	-0.77		29.763	93.97	1
n	training	neutral	0.011	+0.279	-2.276	450	0.030	-4	0.07	-1.05		15.088	93.15	1
n	training	neutral	0	+0.107	-1.573	451	0.832	23	0.25	0.97		46.220	93.42	1
n	training	neutral	0.014	+0.312	-1.517	451	0.379	-23	0.03	-0.52		34.156	90.96	1
n	training	neutral	0.27	+2.655	-1.565	450	0.483	-20	1.03	2.98		0.916	91.78	0
n	training	neutral	0.002	+0.093	-1.532	287					2	25.212	93.65	0
n	training	neutral	0.002	-0.132	-1.825	302		-1	0.27	-1.31	2	27.126	94.20	1
n	training	neutral	0.271	+1.718	-1.825	302		23	0.25	-1.31	0	2.722	94.20	1
n	training	neutral	0.001	-0.017	-1.825	302		27	0.05	-1.31	0	23.165	94.20	1
n	training	neutral	0.156	+1.154	-1.672	302	0.029	-28	0.22	-1.16	0	9.839	90.06	1
n	training	neutral	0.002	+0.014	-1.949	302	0.008	25	0.34	-1.12	0	29.747	93.92	1
n	training	neutral	0.032	+0.613	-2.261	301	0.018	42	0.58	-0.75	0	33.154	94.20	1
n	training	neutral	0.006	-0.316	-2.002	302	0.654	-84	0.93	0.01	1	20.656	93.92	1
n	training	neutral	0.105	+0.705	-1.446	302		-40	0.38	-0.18	0	32.763	92.54	1
n	validation	neutral	0.002	+0.137	-1.529	296					1	25.503	93.92	0
n	training	neutral	0.002	+0.097	-1.540	289					0	23.097	93.92	0
n	training	neutral	0.003	-0.187	-2.013	190					0	20.656	93.92	1
n	training	deleterious	0.559	+2.015	-2.013	190					0	1.690	93.92	1
n	validation	neutral	0.002	+0.093	-1.532	185						25.212	93.65	0
n	training	neutral	0.001	-0.371	-2.017	189		-1	0.27	-1.31		27.206	94.48	1
n	training	neutral	0.156	+1.503	-2.017	189		23	0.25	-1.31		2.730	94.48	1
n	training	neutral	0	-0.261	-2.017	189		27	0.05	-1.31		23.233	94.48	1
n	training	deleterious	0.994	+1.143	-1.391	189	0.029	-28	0.22	-1.16				1
n	training	neutral	0.002	+0.008	-1.902	189	0.008	25	0.34	-1.12		29.660	93.65	1
n	training	neutral	0.002	-0.418	-2.199	189	0.654	-84	0.93	0.01	1	20.777	94.48	1
n	training	neutral	0.002	+0.137	-1.529	182					1	25.503	93.92	0
n	training	neutral	0.002	+0.097	-1.540	179					0	23.097	93.92	0
n	training	neutral	0.001	-0.543	-2.303	99					0	20.656	93.92	1
n	training	neutral	0.322	+1.700	-2.303	99					0	1.690	93.92	1
n	training	neutral	0.001	-0.171	-1.611	409						25.578	94.20	0
n	training	neutral	0.002	+0.302	-1.530	394						23.165	94.20	0
n	training	neutral	0.001	-0.449	-2.208	288						20.716	94.20	1
n	training	neutral	0.256	+1.882	-2.208	288						1.695	94.20	1
n	training	neutral	0.011	+0.343	-1.467	57						22.609	83.98	0
n	training	neutral	0.006	-0.142	-1.968	64	0.024	-1	0.27	-0.90		24.485	86.46	1
n	training	neutral	0.465	+1.527	-1.968	64	0.024	23	0.25	-0.90		2.457	86.46	1
n	training	neutral	0.002	-0.279	-1.968	64	0.024	27	0.05	-0.90		21.263	86.46	1
n	training	deleterious	0.992	+1.143	-1.391	64	0.072	-28	0.22	-0.51				1
n	training	neutral	0.002	-0.042	-1.670	64						23.628	87.02	0
n	training	neutral	0.011	+0.383	-1.466	56						20.787	84.53	0
n	training	neutral	0.001	-0.031	-1.571	356						25.578	94.20	0
n	training	neutral	0.001	+0.097	-1.540	346						23.165	94.20	0
n	training	neutral	0.001	-0.187	-2.013	227						20.716	94.20	1
n	training	neutral	0.357	+2.015	-2.013	227						1.695	94.20	1
n	training	neutral	0.006	-0.132	-1.825	310						25.205	87.02	1
n	training	deleterious	0.544	+1.718	-1.825	310						2.529	87.02	1
n	training	neutral	0.006	-0.017	-1.825	310						21.398	87.02	1
n	training	neutral	0.013	+0.275	-1.407	423						23.204	86.19	0
n	training	neutral	0.059	-0.312	-1.871	473	0.024	-1	0.27	-0.90		25.045	86.74	1
n	training	deleterious	0.902	+1.693	-1.871	473	0.024	23	0.25	-0.90		2.513	86.74	1
n	training	neutral	0.021	-0.008	-1.871	473	0.024	27	0.05	-0.90		21.331	86.74	1
n	training	neutral	0.003	-0.031	-1.571	423						23.553	86.74	0
n	training	neutral	0.003	+0.097	-1.540	266						21.331	86.74	0
n	training	neutral	0.003	+0.093	-1.532	178						23.204	86.19	0
n	training	neutral	0.008	-0.371	-2.017	184	0.024	-1	0.27	-0.90		25.045	87.02	1
n	training	deleterious	0.535	+1.503	-2.017	184	0.024	23	0.25	-0.90		2.513	87.02	1
n	training	neutral	0.003	-0.261	-2.017	184	0.024	27	0.05	-0.90		21.398	87.02	1
n	training	deleterious	0.994	+1.143	-1.391	184	0.072	-28	0.22	-0.51				1
n	training	neutral	0.003	+0.137	-1.529	168						23.477	86.46	0
n	training	neutral	0.003	+0.097	-1.540	161						21.263	86.46	0
n	training	neutral	0.001	+0.008	-1.902	232		25	0.34	-1.00		29.835	94.48	1
n	training	neutral	0.001	-0.097	-1.943	232	0.714	-84	0.93	0.85	1	20.777	94.48	1
n	training	neutral	0.001	+0.137	-1.529	220					1	25.578	94.20	0
n	training	neutral	0.001	+0.097	-1.540	216					0	23.165	94.20	0
n	training	neutral	0.001	-0.187	-2.013	143					0	20.716	94.20	1
n	validation	neutral	0.347	+2.015	-2.013	143					0	1.695	94.20	1
n	training	neutral	0.012	+0.425	-1.311	403						25.212	93.65	0
n	training	neutral	0.001	-0.070	-1.988	436	0.714	-84	0.93	0.85	1	20.777	94.48	1
n	training	neutral	0.002	-0.171	-1.611	417					1	25.503	93.92	0
n	training	neutral	0.004	+0.303	-1.687	406					0	23.097	93.92	0
n	training	neutral	0.001	-0.449	-2.208	310					0	20.777	94.48	1
n	training	neutral	0.248	+1.882	-2.208	310					0	1.700	94.48	1
n	training	deleterious	0.952	+1.188	-1.347	42					2			0
n	training	neutral	0.003	+0.095	-1.776	52		-1	0.27	-1.31	2	25.525	93.92	1
n	validation	neutral	0.402	+1.744	-1.776	52		23	0.25	-1.31	0	2.561	93.92	1
n	training	neutral	0.001	-0.029	-1.776	52		27	0.05	-1.31	0	23.097	93.92	1
n	training	neutral	0.053	+0.985	-1.828	52	0.029	-28	0.22	-1.16	0	9.809	90.06	1
n	training	neutral	0.001	+0.005	-1.795	52	0.008	25	0.34	-1.12	0	29.835	94.20	1
n	training	neutral	0.004	-0.388	-2.044	52	0.654	-84	0.93	0.01	1	20.656	93.92	1
n	training	neutral	0.001	-0.042	-1.670	52					1	25.578	94.20	0
n	training	deleterious	0.991	+1.571	-1.307	52					0			0
n	training	neutral	0	-0.490	-2.146	52					0	20.716	94.20	1
n	training	neutral	0.131	+1.793	-2.146	52					0	1.695	94.20	1
n	training	neutral	0.002	+0.137	-1.529	291						25.503	93.92	0
n	training	neutral	0.002	+0.097	-1.540	280						23.097	93.92	0
n	training	neutral	0.001	-0.543	-2.303	157						20.656	93.92	1
n	training	neutral	0.003	+0.093	-1.532	237						23.204	86.19	0
n	training	neutral	0.001	-0.042	-1.670	86						25.353	93.37	0
n	training	neutral	0.004	+0.383	-1.466	75						22.961	93.37	0
n	training	neutral	0.003	-0.133	-1.863	75						20.534	93.37	1
n	training	deleterious	0.551	+2.110	-1.863	75						1.680	93.37	1
n	training	neutral	0.008	+0.275	-1.407	426						25.212	93.65	0
n	training	neutral	0.004	-0.145	-1.923	450		-1	0.27	-1.31		27.206	93.92	1
n	training	neutral	0.481	+1.801	-1.923	450		23	0.25	-1.31		2.730	93.92	1
n	training	neutral	0.003	+0.161	-1.923	450		27	0.05	-1.31		23.029	93.92	1
n	training	neutral	0.001	+0.009	-1.872	450	0.008	25	0.34	-1.12		29.922	94.48	1
n	training	neutral	0.004	-0.079	-1.821	450	0.654	-84	0.93	0.01	1	20.777	94.48	1
n	training	neutral	0.079	+0.555	-1.407	450		-40	0.38	-0.18	0	33.252	93.92	1
n	training	neutral	0.002	-0.171	-1.611	438					1	25.503	93.92	0
n	training	neutral	0.004	+0.302	-1.643	430					0	23.097	93.92	0
n	training	neutral	0.001	-0.449	-2.208	331					0	20.777	94.48	1
n	training	neutral	0.248	+1.882	-2.208	331					0	1.700	94.48	1
n	training	neutral	0.013	+0.275	-1.407	289						23.204	86.19	0
n	training	neutral	0.003	+0.093	-1.532	209						23.204	86.19	0
n	training	neutral	0.425	+1.144	-1.724	193	0.079	-28	0.22	-0.38		3.605	76.80	1
n	validation	neutral	0.003	+0.008	-1.902	193		25	0.34	-0.33		25.285	80.66	1
n	training	neutral	0.174	+0.917	-2.077	181	0.072	-28	0.22	-0.51		8.420	77.07	1
n	training	neutral	0.003	+0.070	-2.052	181		25	0.34	-0.44		24.323	77.07	1
n	training	neutral	0.327	+0.974	-1.704	156	0.079	-28	0.22	-0.38		8.420	77.07	1
n	training	neutral	0.008	+0.276	-1.859	156		25	0.34	-0.33		25.373	80.66	1
n	training	neutral	0.001	+0.137	-1.529	319						25.653	94.48	0
n	training	neutral	0.001	+0.097	-1.540	310						23.165	94.20	0
n	training	neutral	0	-0.543	-2.303	201						20.777	94.48	1
n	training	neutral	0.172	+1.700	-2.303	201						1.700	94.48	1
n	validation	deleterious	0.903	+1.188	-1.347	19								0
n	validation	neutral	0.054	+0.664	-1.805	26	0.024	-1	0.27	-0.90		6.317	86.46	1
n	training	neutral	0.364	+1.585	-1.805	26	0.024	23	0.25	-0.90		2.296	86.46	1
n	training	neutral	0.001	-0.076	-1.805	26	0.024	27	0.05	-0.90		21.263	86.46	1
n	training	deleterious	0.976	+1.143	-1.391	26	0.072	-28	0.22	-0.51				1
n	training	neutral	0	-0.288	-1.860	26		25	0.34	-0.44		27.560	87.02	1
n	training	neutral	0.001	-0.042	-1.670	26						23.477	86.46	0
n	validation	deleterious	0.958	+1.571	-1.307	15								0
n	training	deleterious	0.992	+1.381	-1.208	260								0
n	training	neutral	0.077	+0.171	-1.628	265						16.782	76.31	1
n	validation	deleterious	0.994	+1.143	-1.391	145	0.122	-28	0.22	-0.80				1
n	training	neutral	0.001	-0.371	-2.017	302		-1	0.27	-1.31	2	27.206	94.48	1
n	training	neutral	0.15	+1.503	-2.017	302		23	0.25	-1.31	0	2.730	94.48	1
n	training	neutral	0	-0.261	-2.017	302		27	0.05	-1.31	0	23.233	94.48	1
n	training	deleterious	0.994	+1.143	-1.391	302	0.029	-28	0.22	-1.16	0			1
n	training	neutral	0.001	+0.008	-1.902	302	0.008	25	0.34	-1.12	0	29.835	94.20	1
n	training	neutral	0.002	-0.418	-2.199	302	0.654	-84	0.93	0.01	1	20.777	94.48	1
n	training	neutral	0.019	+0.487	-1.593	302		-40	0.38	-0.18	0	33.349	94.20	1
n	training	neutral	0.002	+0.137	-1.529	282					1	25.503	93.92	0
n	training	neutral	0.002	+0.097	-1.540	274					0	23.097	93.92	0
n	training	neutral	0	-0.543	-2.303	154					0	20.777	94.48	1
n	training	neutral	0.166	+1.700	-2.303	154					0	1.700	94.48	1
n	training	neutral	0.01	-0.132	-1.825	367		-1	0.27	-1.31		23.365	80.66	1
n	training	deleterious	0.675	+1.718	-1.825	367		23	0.25	-1.31		2.344	80.66	1
n	training	neutral	0.003	-0.017	-1.825	367		27	0.05	-1.31		19.836	80.66	1
n	training	neutral	0.034	+0.331	-1.672	367	0.029	-28	0.22	-1.16		20.484	76.80	1
n	training	neutral	0.004	+0.031	-2.003	367	0.008	25	0.34	-1.12		25.548	80.66	1
n	training	deleterious	0.636	+1.521	-1.491	150	0.553	52	0.44	-0.30		2.436	75.41	1
n	training	neutral	0.475	+1.553	-1.486	367	0.553	52	0.44	-0.30		5.374	75.68	1
n	validation	neutral	0.017	+0.595	-1.486	200	0.495	52	0.44	-0.39	0	21.112	78.42	1
n	training	neutral	0.381	+1.521	-1.491	33	0.495	52	0.44	-0.39		2.428	75.14	1
n	training	deleterious	0.57	+1.521	-1.491	70	0.495	52	0.44	-0.39		2.436	75.41	1
n	training	deleterious	0.636	+1.521	-1.491	131	0.495	52	0.44	-0.39		2.419	74.86	1
n	training	deleterious	0.636	+1.521	-1.491	96	0.495	52	0.44	-0.39		2.392	74.04	1
n	training	deleterious	0.989	+1.453	-1.307	57	0.553	52	0.44	-0.30				1
n	validation	neutral	0.003	+0.513	-1.980	167					0	33.800	85.50	0
n	training	neutral	0.39	+1.314	-1.199	261	0.299	29	0.02	-0.62	1	16.749	85.21	
n	training	neutral	0.001	+0.088	-1.927	336						31.947	92.86	0
n	training	neutral	0.007	+0.733	-1.604	351						20.173	91.73	0
n	training	neutral	0.011	+1.328	-1.889	357	0.560	-5	1.14	0.74		8.428	93.23	0
n	training	neutral	0.001	+0.221	-1.889	357	0.560	-29	0.56	0.74		19.946	93.23	0
n	training	neutral	0	-0.857	-2.918	444		104	0.48	-0.79		29.711	94.36	1
n	validation	neutral	0.034	+0.581	-1.807	445	0.108	-52	0.44	-0.92		26.788	92.48	1
n	training	neutral	0.355	+1.559	-1.171	356					0	12.361	87.59	0
n	training	neutral	0.012	+0.914	-1.477	334					0	31.817	92.48	0
n	training	neutral	0.001	-0.149	-2.148	435		-3	0.37	-1.06		36.372	94.36	1
n	validation	neutral	0	-0.621	-2.360	435	0.494	2	0.39	0.22		23.205	94.36	1
n	training	neutral	0.2	+1.549	-1.355	349					0	12.118	87.22	0
n	training	neutral	0.001	+0.088	-1.927	328						32.076	93.23	0
n	training	deleterious	0.882	+2.845	-1.090	352					0	4.365	87.59	0
n	validation	neutral	0.012	+0.914	-1.477	331					0	32.076	93.23	0
n	training	neutral	0.001	+0.089	-2.107	348						32.076	93.23	0
n	training	neutral	0.287	+1.672	-1.251	368					0	12.057	86.09	0
n	training	neutral	0.016	+0.912	-1.509	344					0	31.300	90.98	0
n	training	neutral	0.291	+1.557	-1.325	329					0	12.300	85.71	0
n	training	neutral	0.016	+1.199	-1.406	305					0	32.464	94.36	0
n	training	neutral	0.001	+0.088	-1.927	340						32.205	93.61	0
n	training	neutral	0.355	+1.559	-1.171	359					0	12.178	87.22	0
n	training	neutral	0.021	+0.914	-1.477	336					0	31.300	90.98	0
n	training	neutral	0.22	+1.423	-1.415	352						12.239	85.71	0
n	training	neutral	0.019	+0.917	-1.443	328						31.688	92.11	0
n	training	neutral	0.004	+0.160	-1.851	324		3	0.37	-0.63		29.950	94.36	1
n	training	neutral	0.468	+1.435	-1.206	274					0	12.361	76.32	0
n	training	neutral	0	-1.191	-2.732	326					0	23.205	94.36	0
n	training	neutral	0.003	+0.384	-1.684	48					0	30.783	89.47	0
n	training	neutral	0.004	-0.012	-1.824	60		3	0.37	-0.63	0	28.757	90.60	1
n	training	neutral	0.002	+0.590	-1.568	61	0.561	-2	0.39	0.54	0	29.767	93.98	1
n	training	deleterious	0.997	+2.461	-1.304	54					0			0
n	training	deleterious	0.997	+2.198	-1.245	53					0			0
n	validation	neutral	0.012	+0.914	-1.477	334					0	32.205	93.61	0
n	training	neutral	0.001	-0.676	-1.845	64					2	25.263	93.83	1
n	training	neutral	0	-1.066	-2.569	68					0	35.236	93.83	1
n	training	neutral	0.025	+0.902	-1.683	67					0	19.360	78.55	0
n	training	neutral	0.001	-0.143	-2.596	109					0	26.768	92.41	1
n	training	deleterious	0.836	+2.784	-1.302	96					2	1.581	91.60	0
n	training	neutral	0.133	+1.649	-1.349	27					1	9.846	75.75	0
n	training	neutral	0	-0.730	-1.772	69	0.165	-27	0.04	-0.07	2	24.758	91.96	1
n	training	neutral	0.002	+0.532	-2.156	69	0.676	-27	0.05	0.63	0	12.303	84.62	1
n	training	neutral	0.011	+0.703	-1.529	27					0	16.224	75.84	0
n	training	neutral	0.148	+0.901	-2.015	71	0.331	29	0.56	-0.18	2	11.199	59.40	1
n	training	deleterious	0.891	+2.223	-1.185	24					0	1.642	91.00	1
n	training	deleterious	0.995	+2.064	-1.152	151					1	1.737	46.03	1
n	training	neutral	0.01	+1.479	-1.900	19					0	5.008	91.72	0
n	training	deleterious	0.542	+1.012	-1.876	133					2	5.520	59.66	1
n	validation	neutral	0.034	+1.369	-2.713	63					0	1.839	93.84	0
n	validation	neutral	0.006	-0.124	-2.084	143					0	30.213	80.46	1
n	training	deleterious	1	+4.308	-0.953	154					1			0
n	training	neutral	0	-0.311	-2.361	39					0	21.661	80.46	0
n	training	neutral	0.008	+1.324	-2.094	20					0	2.389	93.01	0
n	training	deleterious	0.714	+2.370	-1.979	71					1	2.575	84.10	1
n	training	neutral	0	-2.765	-4.059	39					0	19.648	89.34	1
n	training	neutral	0.005	+0.095	-1.634	41					1	21.488	79.14	1
n	training	neutral	0.026	+0.494	-1.800	75					0	18.100	78.75	1
n	training	neutral	0.156	+1.408	-1.565	79					0	4.504	81.88	0
n	training	neutral	0.005	+0.157	-2.855	145					0	29.199	60.57	0
n	training	deleterious	0.753	+1.965	-0.994	165					1	17.858	75.99	0
n	training	neutral	0.16	+1.430	-1.762	112					1	19.183	54.41	0
n	training	neutral	0.001	-0.919	-2.118	67					1	22.866	92.98	1
n	training	neutral	0.004	+0.306	-2.035	75					1	22.866	92.98	1
n	validation	neutral	0.064	+1.864	-2.018	16					0	1.860	90.21	0
n	training	neutral	0	-1.405	-3.585	18					1	17.597	91.86	0
n	training	neutral	0.001	-0.065	-1.530	37		52	0.44	1.01	1	25.079	93.15	1
n	training	deleterious	0.852	+2.538	-1.984	37					0	1.240	64.38	1
n	training	neutral	0.001	+0.137	-1.689	22					0	16.523	68.98	0
n	validation	neutral	0.001	-0.670	-2.688	75					2	26.392	91.11	1
n	training	neutral	0.005	-0.293	-2.687	78					2	14.138	90.77	1
n	training	neutral	0	-0.763	-2.180	31					2	23.209	86.21	1
n	training	deleterious	0.998	+2.849	-1.160	54	0.075	23	0.11	0.00	1	1.018	56.35	1
n	training	neutral	0.003	+0.046	-1.698	43					2	22.022	90.90	1
n	training	neutral	0.021	+0.407	-2.040	21	0.158	23	0.11	-0.20	1	9.267	57.21	1
n	training	deleterious	0.949	+1.552	-1.327	18	0.083	-52	0.44	-0.64	0	2.452	52.24	1
n	training	deleterious	0.999	+2.919	-0.883	19		113	0.91	-1.05	0	1.432	45.27	1
n	training	neutral	0	-2.464	-5.087	22					2	29.954	89.05	1
n	training	neutral	0	-0.538	-2.391	22	0.172	-23	0.11	-0.69	2	23.976	89.05	1
n	training	neutral	0.003	-0.485	-2.882	486					2	28.983	84.24	1
n	training	neutral	0.001	-0.896	-2.558	75					2	25.160	84.24	1
n	training	neutral	0.004	+0.728	-1.820	28					1	14.670	90.57	0
n	training	neutral	0.002	+0.237	-1.572	23					1	22.536	83.71	0
n	training	neutral	0.12	+3.037	-2.165	23					1	0.576	89.61	0
n	validation	neutral	0.043	+1.291	-2.068	39	0.233	-28	0.29	-0.26	0	5.294	79.84	1
n	training	neutral	0.002	+0.052	-1.986	56	0.325	-5	1.14	-0.34	0	22.685	81.87	1
n	training	neutral	0	-1.151	-3.305	43					1	20.471	93.08	0
n	training	neutral	0.116	+0.984	-1.633	30					0	10.457	73.78	1
n	training	neutral	0.02	+0.589	-1.427	130					0	21.918	81.41	0
n	training	neutral	0	-0.017	-2.155	27					2	22.423	83.29	0
n	training	neutral	0.003	+0.300	-1.854	27					2	30.798	89.52	1
n	validation	neutral	0.002	+0.081	-2.119	57					0	36.755	92.65	1
n	training	neutral	0.014	-0.181	-1.812	104	0.417	52	0.44	-0.71	1	15.291	56.80	1
n	training	deleterious	0.928	+1.420	-1.360	329					0	4.129	31.76	1
n	training	neutral	0.005	-0.431	-4.276	325					0	2.248	90.25	1
n	training	neutral	0.007	-0.120	-2.112	100					1	18.857	88.15	1
n	validation	neutral	0.242	+1.267	-1.057	117					0	20.484	78.45	0
n	training	neutral	0.039	+1.216	-1.740	31					0	8.926	85.03	0
n	training	neutral	0.001	+0.133	-2.215	108					0	31.305	87.43	0
n	training	neutral	0	-1.123	-3.493	60					2	25.000	92.86	1
n	training	neutral	0.019	+0.761	-1.508	29					0	15.173	61.70	0
n	training	neutral	0.019	+0.280	-1.477	48					0	21.696	57.78	0
n	training	neutral	0	-1.170	-3.250	25					0	20.080	93.86	0
n	training	neutral	0.001	+0.125	-1.757	27					0	24.505	84.60	0
n	training	neutral	0.365	+0.990	-0.977	271	0.338	-27	0.05	-0.48	0	11.760	53.47	0
n	training	neutral	0.003	+0.548	-2.061	87					0	24.591	82.48	0
n	training	neutral	0.058	+1.271	-1.618	31					0	3.819	85.48	0
n	training	neutral	0	-0.983	-2.931	33					0	24.996	92.84	0
n	training	deleterious	0.724	+3.408	-1.851	67					1	0.567	85.48	0
n	training	neutral	0.002	+0.036	-2.055	44					0	18.362	68.66	0
n	training	neutral	0	-1.866	-3.203	19					2	31.962	92.90	
n	training	neutral	0	-0.998	-2.206	127					0	45.043	91.04	
n	training	neutral	0.002	-0.091	-2.017	132					0	22.389	91.04	
n	training	neutral	0.087	+0.852	-2.024	84					0	21.720	54.89	
n	training	deleterious	0.935	+1.310	-1.307	21					0			0
n	training	neutral	0.265	+0.896	-1.548	307	0.241	29	0.02	-0.84	1	17.594	80.00	1
n	training	neutral	0	-0.395	-2.493	306					0	47.903	93.95	1
n	training	deleterious	0.976	+1.808	-1.164	143					0	4.583	40.88	1
n	training	neutral	0	-1.495	-3.348	50					2	26.400	91.14	1
n	training	neutral	0.239	+1.378	-1.638	92	0.986	-28	0.22	0.00	2	2.445	53.77	0
n	validation	neutral	0.007	+0.297	-1.842	88					2	27.529	92.67	1
n	training	neutral	0.001	-0.689	-2.405	99					0	26.615	91.88	1
n	training	neutral	0.004	-0.370	-2.017	99					1	25.676	92.67	1
n	validation	neutral	0.001	-0.442	-2.530	27					1	39.924	87.67	1
n	training	neutral	0.058	+1.308	-1.984	25					0	3.745	87.67	1
n	training	neutral	0.252	+0.586	-1.454	26					0	9.139	41.55	1
n	validation	deleterious	0.946	+1.722	-1.355	26					0	1.515	37.53	1
n	validation	deleterious	0.81	+1.112	-1.429	44					0	4.319	37.53	1
n	training	neutral	0.091	+0.959	-1.368	47					0	38.612	79.89	1
n	training	neutral	0.005	+0.322	-1.788	82					2	23.832	78.39	0
n	training	deleterious	1	+2.726	-1.281	65	0.248	-20	1.03	0.00	1			1
n	validation	deleterious	0.995	+1.184	-1.358	69	0.210	-6	0.4	0.00	2			1
n	training	deleterious	0.82	+1.955	-1.404	50					1	2.824	75.00	0
n	training	neutral	0.003	+0.290	-2.519	174					0	26.170	93.06	1
n	training	neutral	0.033	+1.242	-2.129	145					0	22.044	88.20	1
n	training	neutral	0.08	+0.810	-1.585	193					0	11.345	74.06	0
n	training	deleterious	0.977	+2.834	-1.651	54					1	0.368	34.14	0
n	training	neutral	0	-1.026	-3.121	123					2	31.180	90.63	0
n	training	neutral	0	-0.487	-3.136	54					0	24.465	90.63	0
n	training	neutral	0.011	+0.562	-1.718	48					0	20.952	85.20	1
n	training	neutral	0.017	+0.604	-1.774	69					2	18.145	57.13	0
n	training	neutral	0	-0.059	-2.014	50					0	20.519	93.30	0
n	validation	neutral	0.001	-0.378	-2.525	48					0	24.972	92.75	1
n	training	neutral	0.002	-0.168	-2.313	219					1	24.500	90.23	1
n	training	neutral	0.392	+2.109	-2.130	203					0	5.026	89.80	1
n	training	neutral	0	-0.328	-2.542	221					0	24.500	93.38	0
n	training	neutral	0.002	-0.256	-2.651	216					0	24.382	89.80	1
n	training	neutral	0.45	+1.043	-1.076	230					0	16.756	76.19	0
n	training	neutral	0.037	+1.394	-1.883	20					0	3.378	77.82	0
n	training	neutral	0	-0.469	-2.423	99					2	23.958	82.71	0
n	validation	neutral	0	-0.706	-2.750	99					2	27.943	81.22	0
n	training	deleterious	0.836	+2.718	-1.765	102					1	1.052	78.24	0
n	training	deleterious	0.995	+2.091	-1.205	98					0	2.049	41.05	1
