truth	split	pph2_class	pph2_prob	dScore	Score1	Nobs	NormASA	dVol	dProp	Bfact	CpG	IdPmax	IdQmin	PFamHitBool
n	training	neutral	0	+0.062	-1.688	55		0	0.07	-0.63	0	34.483	91.83	1
n	training	neutral	0	+0.413	-2.586	55	0.748	-20	1.03	1.92	1	32.511	91.83	0
n	training	neutral	0.03	+0.181	-2.107	55	0.273	-50	1.04	0.04	2	12.296	76.73	0
n	training	neutral	0	-0.064	-2.357	37					2	22.676	83.51	0
n	training	neutral	0	+0.234	-2.432	117						20.019	93.58	1
n	training	neutral	0	-0.192	-2.388	34					2	8.684	91.86	0
n	training	neutral	0	-1.857	-3.589	16					0	26.547	91.65	0
n	training	neutral	0	-0.068	-2.306	66					0	16.219	85.22	0
n	training	neutral	0.138	+0.833	-2.371	46					0	4.577	65.74	0
n	training	neutral	0	+0.044	-2.262	43					0	26.653	89.72	0
n	training	neutral	0	+0.289	-2.009	37					0	10.925	93.58	0
n	validation	neutral	0	-0.549	-2.631	123					0	25.989	89.72	1
n	training	neutral	0	-0.143	-2.019	117					0	27.798	93.58	1
n	training	neutral	0.002	+0.236	-1.759	19						18.003	84.15	0
n	training	neutral	0	-0.106	-2.257	52					0	23.482	87.22	1
n	validation	neutral	0.008	+0.306	-1.947	52					0	17.274	87.22	1
n	training	neutral	0	-0.684	-2.607	119	0.252	-28	0.22	-0.62	2	25.264	87.22	1
n	training	deleterious	0.942	+1.684	-1.637	129	0.567	-78	0.75	0.56	0	4.262	64.41	1
n	training	neutral	0	-0.070	-1.577	26					0	35.695	89.97	0
n	training	neutral	0	-0.129	-2.183	30					0	24.465	91.73	1
n	training	neutral	0	+0.091	-2.409	43					0	23.482	87.22	1
n	training	neutral	0.001	-0.362	-1.947	52					0	32.752	87.22	1
n	training	neutral	0	+0.241	-1.865	117	0.442	27	0.04	0.80	0	23.546	86.72	1
n	training	neutral	0.028	+0.409	-1.856	119	0.465	-50	1.04	0.85	2	18.657	64.41	1
n	training	neutral	0.005	+0.370	-1.955	119	0.424	-1	0.27	0.01	0	18.657	64.41	1
n	training	neutral	0.006	+0.024	-2.468	121	0.126	50	1.04	1.11		17.422	87.22	1
n	training	neutral	0	-0.440	-2.376	129	0.480	25	0.34	-0.26	0	27.465	87.22	1
n	training	neutral	0	-0.153	-2.825	129	0.276	-40	0.38	0.32	0	30.878	87.22	1
n	training	neutral	0.132	+0.868	-1.637	129	0.567	-50	1.04	0.56	2	15.754	64.41	1
n	training	neutral	0	-1.541	-3.164	126	0.150	-27	0.29	-0.94	0	34.601	87.22	1
n	training	deleterious	0.999	+2.576	-1.234	127	0.029	24	0.52	-0.39	0	1.856	79.45	1
n	training	neutral	0	-0.398	-1.977	126	0.044	-27	0.11	0.41	2	23.347	87.22	1
n	training	neutral	0	+0.042	-2.165	124	0.607	-5	1.14	0.44	0	24.166	87.22	1
n	training	neutral	0.002	+0.251	-1.836	48					2	21.852	86.72	1
n	training	neutral	0	-0.476	-2.257	52					0	32.187	87.22	1
n	training	neutral	0.009	+0.242	-2.305	58					0	15.681	80.45	1
n	training	neutral	0	+0.320	-1.778	117	0.192	27	0.05	0.91	0	21.448	87.22	1
n	training	neutral	0.001	-0.062	-1.911	118	0.058	-27	0.11	0.63	2	16.869	75.44	1
n	training	deleterious	0.753	+1.122	-1.342	119	0.729	-23	0.25	1.04	0	13.284	60.40	1
n	training	neutral	0	-0.849	-2.468	121	0.126	23	0.75	1.11	0	34.601	87.22	1
n	training	neutral	0	-0.100	-1.732	126	0.023	-27	0.04	-0.14	0	23.212	86.22	1
n	training	neutral	0	-0.014	-2.825	129	0.276	-49	0.85	0.32		18.551	87.22	1
n	training	neutral	0.007	+0.841	-1.561	129	0.909	27	0.29	0.68	0	19.134	64.41	1
n	training	neutral	0	-0.592	-2.403	130	0.631	-3	0.14	-0.97	2	34.601	87.22	1
n	training	neutral	0	+0.405	-2.215	126	0.624	5	1.14	0.18	0	30.007	87.22	1
n	training	neutral	0	+0.162	-1.860	228					0	20.608	93.71	1
n	training	neutral	0	+0.134	-1.801	231					0	20.125	91.51	1
n	training	neutral	0	+0.921	-2.215	245					0	33.175	93.71	1
n	training	neutral	0	+0.740	-2.527	246					0	33.175	93.71	1
n	training	neutral	0	-0.469	-1.956	259					0	20.608	93.71	1
n	training	neutral	0	-0.320	-2.300	240					1	20.586	93.71	1
n	training	neutral	0	-0.535	-2.908	270					0	20.323	93.61	1
n	training	neutral	0	-0.578	-2.653	252					0	25.444	93.71	1
n	training	neutral	0	+0.152	-3.188	243					0	35.619	93.71	1
n	training	neutral	0	-0.435	-2.535	245						20.323	93.71	1
n	training	neutral	0.001	+0.304	-1.573	260					0	25.091	92.41	1
n	training	neutral	0	+0.218	-2.419	265					0	20.608	93.71	1
n	training	neutral	0.001	+0.431	-2.177	266					0	35.272	91.51	1
n	training	neutral	0	+0.694	-2.098	262					0	23.044	93.71	1
n	training	neutral	0	+0.143	-1.949	269					0	27.836	93.71	1
n	training	neutral	0	+0.368	-2.052	248					0	29.679	93.71	1
n	training	neutral	0.002	+0.514	-1.264	273					0	15.178	93.71	1
n	validation	neutral	0	+0.085	-2.229	249					0	20.586	93.71	1
n	training	neutral	0	+0.545	-2.751	268					0	15.178	93.71	1
n	training	neutral	0	+0.352	-2.729	272					1	15.178	93.71	1
n	training	neutral	0.001	+0.326	-2.017	265					0	14.838	91.61	1
n	training	neutral	0	-0.499	-2.569	245						46.707	91.61	1
n	training	neutral	0	-0.767	-2.207	247					0	23.044	93.71	1
n	training	neutral	0	+0.423	-2.441	247						31.937	93.61	1
n	training	neutral	0	-0.130	-2.334	256					0	35.151	93.71	1
n	training	neutral	0	+0.163	-1.649	249					0	24.874	91.61	1
n	validation	neutral	0.017	+1.385	-1.688	269					0	14.822	93.71	1
n	training	neutral	0	+0.058	-2.926	268						25.355	93.71	1
n	training	neutral	0.003	+0.072	-1.765	259					1	25.091	92.41	1
n	training	neutral	0	+0.345	-2.195	233	0.631	1	0.27	-0.36	0	18.367	84.12	1
n	training	neutral	0	-0.556	-2.527	246					0	46.310	93.71	1
n	training	neutral	0	+0.250	-1.980	260	0.534	-27	0.04	0.33	0	25.202	93.71	1
n	training	neutral	0	+0.235	-2.127	264	0.932	-27	0.04	1.92	2	25.228	93.71	0
n	training	neutral	0	-0.022	-1.643	267	0.289	-27	0.29	-0.12	0	37.136	93.61	1
n	training	neutral	0	-0.073	-2.384	269	0.109	-27	0.11	-0.47	2	25.202	93.71	1
n	training	neutral	0	-0.321	-2.419	265					0	27.114	93.71	1
n	training	neutral	0	-0.004	-2.162	274					0	20.608	93.71	1
n	training	neutral	0	-0.553	-2.513	249	0.543	-5	1.14	0.93	0	25.964	93.71	1
n	training	neutral	0.026	+1.125	-2.147	271	0.317	47	0.77	-0.16	1	15.162	93.61	1
n	training	neutral	0	+0.295	-1.947	271	0.310	29	0.02	0.72		20.586	93.61	1
n	training	neutral	0	-0.535	-2.207	247					0	20.586	93.71	1
n	training	neutral	0.001	+1.028	-1.877	244	0.268	42	0.58	3.05	0	33.175	93.71	1
n	training	neutral	0	+0.308	-2.257	263	0.070	-27	0.29	2.36	2	33.371	93.61	1
n	training	neutral	0	+0.859	-2.007	268	1.058	23	0.03	0.33	0	35.311	93.61	1
n	training	neutral	0	+0.196	-1.853	260	0.774	0	0.07	-0.99	0	33.388	92.41	1
n	training	neutral	0	-0.361	-3.188	243					2	24.287	93.71	1
n	training	neutral	0	-0.397	-2.410	246	0.621	28	0.22	1.26	0	23.019	93.61	1
n	training	neutral	0	-0.461	-2.337	241					0	25.603	94.29	0
n	training	neutral	0	-0.581	-2.917	246					1	28.803	94.29	1
n	training	neutral	0	+0.218	-2.346	135					0	37.408	94.29	1
n	training	neutral	0.001	+0.519	-2.062	193					2	23.700	91.33	1
n	training	neutral	0.029	+1.251	-1.878	245					0	22.309	65.33	0
n	training	neutral	0	-0.902	-2.820	241					0	45.290	92.60	1
n	training	neutral	0	+0.265	-1.963	191					0	37.408	94.29	1
n	training	neutral	0	-0.759	-2.588	137	0.658	-5	1.14	-0.05	0	26.018	93.90	1
n	training	neutral	0.02	+0.381	-1.575	139	0.128	-27	0.04	0.56	0	15.541	77.24	1
n	training	neutral	0	-1.447	-3.200	132	0.503	-23	0.11	-0.12	2	25.281	93.90	1
n	validation	neutral	0	-1.757	-3.499	111	0.912	-29	1.59	0.95		27.895	93.90	1
n	training	neutral	0.417	+0.942	-1.521	34					2	17.729	45.78	0
n	training	deleterious	0.855	+2.178	-2.088	33					0	2.282	67.35	0
n	training	deleterious	0.999	+2.237	-1.371	30					0	1.260	43.34	0
n	training	neutral	0.009	+0.224	-1.328	101	0.060	-27	0.04	-0.37	2	23.438	87.05	1
n	training	neutral	0	-0.255	-2.555	105					2	26.792	92.50	1
n	training	neutral	0	+0.070	-2.486	72					2	36.248	92.50	0
n	training	neutral	0	-0.710	-2.042	27					0	47.925	94.00	0
n	training	neutral	0	-0.157	-2.121	28					2	44.368	92.50	0
n	validation	neutral	0.001	+0.439	-2.139	102	0.360	51	0.7	-0.59	0	25.115	92.50	1
n	validation	deleterious	0.975	+0.865	-1.301	102		-23	0.03	0.22	0	12.541	42.21	1
n	training	deleterious	0.831	+1.617	-1.804	104	0.561	-51	0.46	1.48	0	3.665	60.60	1
n	training	neutral	0	+0.159	-2.283	73					0	26.466	91.37	0
n	training	deleterious	0.793	+1.594	-1.160	28					2	4.921	67.35	0
n	training	neutral	0	-0.438	-1.826	102	0.283	-27	0.29	1.36	0	36.695	92.50	1
n	training	neutral	0.002	+0.226	-1.310	103	0.053	-27	0.04	-1.07	0	24.902	92.50	1
n	validation	neutral	0.001	-0.503	-1.757	102		-1	0.27	-0.90	2	20.651	71.29	1
n	training	neutral	0	-0.648	-3.099	103	0.769	-25	0.34	-0.06	0	20.342	92.50	1
n	training	deleterious	0.908	+1.254	-1.213	75					0	9.816	65.29	0
n	validation	neutral	0	+0.426	-2.607	73						25.241	92.50	0
n	training	neutral	0	-0.425	-2.938	73					0	24.902	92.50	0
n	training	neutral	0	-0.225	-2.772	74					0	22.653	92.50	0
n	training	neutral	0	+0.408	-2.211	73					0	31.822	92.50	0
n	training	neutral	0	+0.518	-2.043	61					0	29.295	92.50	0
n	training	neutral	0	-0.445	-2.776	27					0	20.672	94.00	0
n	training	neutral	0	+0.106	-1.924	45					0	22.746	92.50	0
n	training	neutral	0.001	+0.483	-1.851	45						14.982	92.50	0
n	training	neutral	0.01	+1.255	-3.247	45						2.261	92.50	0
n	training	neutral	0.002	+1.082	-1.920	34					2	16.305	92.50	0
n	training	neutral	0	-0.706	-2.411	34					0	26.792	92.50	0
n	training	neutral	0	-1.183	-3.428	34					0	45.761	92.50	0
n	training	neutral	0.006	+1.234	-2.099	35					0	4.538	92.50	0
n	training	neutral	0	-0.463	-2.523	29					1	19.788	92.50	0
n	training	neutral	0	-0.185	-3.117	31					0	9.329	92.50	0
n	training	neutral	0	+0.361	-2.307	31					0	42.048	92.50	0
n	training	neutral	0	-0.153	-1.729	30					0	32.690	87.05	0
n	training	neutral	0	+0.471	-1.729	28					0	20.300	92.50	0
n	training	neutral	0.006	+1.361	-1.902	28						4.010	92.50	0
n	validation	neutral	0	+0.403	-2.495	25						45.428	94.00	0
n	training	neutral	0	+0.303	-1.839	20					0	20.153	91.64	0
n	training	deleterious	0.646	+1.221	-1.493	17					0	3.017	57.86	0
n	training	neutral	0	+0.351	-1.743	11					2	45.337	91.64	0
n	training	neutral	0.001	+0.593	-1.342	16					0	26.544	91.64	0
n	training	neutral	0	+0.120	-1.736	17					0	22.535	91.64	0
n	validation	neutral	0.474	+2.134	-2.248	17					1	1.656	91.64	0
n	training	neutral	0	+0.261	-1.895	15					0	12.210	91.64	0
n	training	neutral	0.001	+0.243	-1.931	18					0	12.725	91.64	0
n	training	deleterious	0.675	+1.647	-1.725	19					0	3.246	56.52	0
n	training	deleterious	0.951	+1.407	-1.505	19					0	3.764	56.19	1
n	training	neutral	0	+0.041	-2.188	18					0	26.970	91.64	1
n	training	neutral	0.006	+0.369	-1.883	19					1	13.488	91.64	1
n	validation	neutral	0.001	+0.303	-1.513	19					1	19.492	91.64	0
n	training	neutral	0	+0.106	-2.160	20					2	38.387	77.59	0
n	training	deleterious	0.995	+2.097	-1.507	20					2	0.808	56.52	1
n	training	neutral	0.001	+0.400	-1.925	20					0	15.627	91.64	1
n	validation	deleterious	0.808	+1.438	-1.702	21					0	2.231	57.86	0
n	training	deleterious	1	+2.006	-1.115	20					0			0
n	training	neutral	0.002	+0.717	-1.533	17					0	14.228	91.64	0
n	training	neutral	0.141	+0.513	-1.788	18					0	11.842	54.52	0
n	validation	deleterious	0.942	+1.040	-1.468	19					0	1.759	24.08	1
n	training	neutral	0.001	+0.593	-1.342	14					2	26.544	91.64	1
n	training	neutral	0	-1.154	-3.748	153					0	47.231	92.64	0
n	training	neutral	0	-0.206	-2.968	139					0	20.373	92.64	0
n	training	neutral	0	-0.671	-2.483	123					1	19.818	92.64	0
n	training	deleterious	0.997	+1.776	-1.169	146					0	2.718	37.21	1
n	training	neutral	0.001	+0.099	-2.081	165					0	22.838	87.79	1
n	training	neutral	0	-0.524	-2.456	163					0	16.853	92.64	1
n	training	deleterious	0.995	+2.140	-1.347	19					0			0
n	training	neutral	0	+0.366	-1.860	165					2	36.751	92.64	0
n	training	deleterious	0.721	+3.423	-1.799	16						0.473	94.00	0
n	training	neutral	0	+0.415	-1.618	16					0	20.673	94.00	0
n	training	neutral	0	-0.187	-2.021	16					0	25.307	94.00	0
n	training	neutral	0	+0.125	-1.661	16					1	45.430	94.00	0
n	training	neutral	0.001	+0.322	-1.721	17					2	31.033	82.55	0
n	training	neutral	0	+0.436	-1.676	15					0	27.924	94.00	0
n	training	neutral	0.003	+0.399	-1.466	17					1	23.937	88.91	0
n	training	neutral	0	-0.047	-1.703	19					0	22.664	84.18	0
n	training	neutral	0	+0.248	-1.432	24					0	46.505	94.00	0
n	validation	neutral	0	+0.128	-2.079	25					0	20.593	93.64	1
n	training	neutral	0	-0.175	-1.705	26					0	36.233	94.00	1
n	training	deleterious	0.938	+2.305	-2.008	26					0	1.355	76.18	1
n	training	neutral	0	+0.488	-1.530	25					0	25.524	94.00	1
n	training	neutral	0	-0.303	-2.495	25					0	25.307	94.00	1
n	training	neutral	0	-0.132	-2.491	22					0	44.126	86.55	0
n	training	neutral	0	-0.114	-1.831	21					0	27.228	94.00	0
n	training	neutral	0.149	+0.405	-1.806	27					0	11.744	59.64	1
n	training	neutral	0	-0.355	-2.536	27					0	27.228	94.00	1
n	training	neutral	0	-0.162	-2.189	27					0	23.116	94.00	1
n	training	neutral	0.001	+0.363	-1.699	27					0	23.858	82.36	1
n	training	neutral	0	-1.400	-3.239	23					2	27.228	94.00	1
n	training	neutral	0.001	+0.229	-1.791	30					0	26.411	88.91	1
n	training	deleterious	0.684	+1.434	-1.681	30					0	4.092	82.55	1
n	training	neutral	0.003	+0.105	-2.113	29					1	10.036	91.82	1
n	validation	neutral	0	-0.334	-2.179	23					0	25.307	94.00	1
n	validation	neutral	0	-0.464	-2.342	29					0	37.292	94.00	1
n	training	neutral	0	-0.759	-2.309	28					2	32.340	94.00	1
n	training	neutral	0	-0.002	-2.122	26					0	20.673	94.00	1
n	training	neutral	0	+0.124	-1.747	24					2	27.228	94.00	0
n	training	neutral	0	-0.067	-2.140	22					2	29.775	86.55	0
n	training	neutral	0	+0.277	-1.943	21					0	20.673	94.00	0
n	training	neutral	0	+0.069	-2.163	30					0	29.772	94.00	1
n	training	neutral	0.003	+0.457	-1.706	29					0	23.910	82.55	1
n	training	neutral	0.001	+0.109	-1.626	27					0	28.712	83.45	1
n	training	neutral	0.01	+0.021	-3.055	411	0.500	-9	0.47	1.94	1	10.979	87.44	1
n	training	neutral	0	-0.149	-3.045	264						13.730	93.39	1
n	training	neutral	0	-0.138	-2.302	24					0	47.617	93.39	0
n	training	neutral	0	-0.568	-3.163	38					0	29.579	93.39	0
n	training	neutral	0.002	+0.353	-2.409	52					0	16.307	85.52	0
n	validation	neutral	0.084	+0.276	-1.866	74					0	17.514	51.32	1
n	training	neutral	0.001	+0.138	-3.246	58					0	4.678	93.39	1
n	training	neutral	0.053	+0.418	-1.499	60					0	21.957	63.82	0
n	training	deleterious	0.765	+0.790	-1.501	61					0	12.557	46.64	0
n	training	neutral	0	-1.122	-3.398	56					0	19.231	93.39	0
n	validation	neutral	0.001	-0.057	-1.743	57					0	33.817	85.24	0
n	training	neutral	0.015	-0.412	-2.441	56					0	13.447	63.82	1
n	training	neutral	0.001	-0.231	-2.199	56					0	33.927	85.52	1
n	training	neutral	0	+0.194	-2.122	42					0	15.127	93.39	1
n	training	neutral	0	+0.272	-1.783	22					2	16.429	88.55	0
n	training	neutral	0	-0.168	-1.726	22					1	22.966	93.39	0
n	training	neutral	0	+0.328	-1.624	23					0	26.124	87.94	0
n	training	neutral	0.003	+0.447	-2.596	37					0	6.973	87.44	0
n	training	neutral	0.495	+1.103	-2.204	31					0	2.759	63.82	0
n	training	neutral	0	+0.293	-2.773	39					0	15.127	93.39	0
n	training	neutral	0	-0.374	-2.146	42					0	44.584	87.44	0
n	training	neutral	0	-1.697	-2.848	42					0	47.617	93.39	0
n	training	neutral	0	-0.775	-2.151	42					0	25.144	93.39	0
n	training	neutral	0	-0.581	-2.195	41					0	37.051	93.39	0
n	training	neutral	0	-0.594	-2.738	42					0	20.539	93.39	0
n	validation	neutral	0.023	+1.320	-2.293	38					0	3.757	89.92	0
n	training	neutral	0.002	+0.322	-1.872	41					0	12.282	89.92	0
n	training	neutral	0.001	-0.247	-1.807	42					2	23.543	87.44	1
n	training	neutral	0.379	+1.641	-1.771	41					0	6.027	85.52	1
n	training	neutral	0	-0.067	-2.523	41					0	20.539	93.39	1
n	training	neutral	0	-0.609	-2.132	37					0	29.579	93.39	0
n	training	neutral	0	-0.114	-1.951	37					0	27.052	93.39	0
n	validation	neutral	0	-0.749	-1.954	37					0	25.144	93.39	0
n	training	neutral	0.001	+0.534	-2.632	28					2	6.116	85.24	0
n	training	neutral	0	-0.952	-3.259	30					0	24.691	93.39	0
n	training	neutral	0	+0.074	-2.322	31					2	23.543	87.44	0
n	training	neutral	0	-0.057	-2.302	29					1	25.359	93.39	0
n	validation	neutral	0	-1.360	-3.581	29					0	25.144	93.39	0
n	training	neutral	0.001	+0.385	-1.583	23					0	19.110	86.89	0
n	training	neutral	0	-0.349	-2.435	27					0	19.231	87.44	0
n	training	neutral	0	-0.091	-3.006	29					0	13.807	93.39	0
n	training	neutral	0.089	+1.654	-2.162	28					0	2.829	87.44	0
n	training	neutral	0	+0.364	-2.172	30					0	20.962	85.52	0
n	training	neutral	0.007	+0.362	-1.511	33					0	17.183	85.52	0
n	training	neutral	0	-2.102	-4.100	33					0	20.539	93.39	1
n	training	neutral	0	-1.025	-3.217	22					0	45.387	93.39	0
n	training	neutral	0	-0.138	-3.012	404					0	20.539	93.39	1
n	training	neutral	0.001	+0.199	-2.664	266					0	20.426	63.93	1
n	training	neutral	0	+0.294	-2.810	29					1	7.403	93.39	0
n	training	neutral	0.001	+0.033	-2.477	53					2	24.771	85.52	0
n	training	neutral	0	-0.135	-2.300	74					0	29.579	93.39	1
n	training	deleterious	0.666	+0.881	-1.446	68					0	15.724	45.70	0
n	training	neutral	0.224	+1.049	-2.146	58					0	4.113	87.44	0
n	training	neutral	0.237	+1.283	-2.153	56					0	4.771	87.44	1
n	training	neutral	0	+0.352	-2.312	38					0	42.172	85.52	0
n	training	neutral	0.296	+0.563	-1.810	40					0	7.900	51.49	0
n	training	deleterious	0.944	+2.154	-2.171	31					0	1.848	63.82	0
n	training	neutral	0	+0.382	-2.091	27					0	25.359	93.39	0
n	training	neutral	0.001	-0.099	-1.646	33					0	32.113	85.52	1
n	training	neutral	0.094	+1.260	-2.097	36					0	4.258	83.39	0
n	training	neutral	0	+0.378	-2.137	49					0	23.071	93.82	0
n	validation	neutral	0	-2.117	-3.941	49	0.383	1	2.82	-0.64	0	25.994	93.82	1
n	training	neutral	0	-0.712	-3.316	28					0	46.414	93.82	0
n	training	neutral	0	-1.919	-4.342	30					0	25.258	93.82	0
n	validation	neutral	0	-1.327	-3.093	38					0	27.175	93.82	0
n	training	neutral	0	-1.063	-2.918	36					0	47.788	93.82	0
n	training	neutral	0	+0.442	-2.107	40						25.969	93.82	0
n	validation	neutral	0	-0.568	-2.521	40					0	27.175	93.82	0
n	validation	neutral	0	+0.017	-1.601	40					0	25.258	93.82	0
n	training	neutral	0.002	-0.199	-1.868	43					0	17.135	77.92	0
n	training	neutral	0	+0.315	-2.214	43					0	27.615	87.19	0
n	training	neutral	0	-0.402	-1.992	43					0	25.258	93.82	0
n	validation	neutral	0.006	+1.331	-2.466	48						5.445	93.82	0
n	training	neutral	0	-0.160	-2.227	48					0	29.714	93.82	0
n	training	neutral	0.001	+0.732	-1.572	48					0	23.071	93.82	0
n	training	neutral	0	-0.414	-1.952	47					0	23.474	87.19	0
n	training	neutral	0	+0.256	-1.781	47					0	18.973	93.82	0
n	training	neutral	0	-0.435	-2.307	46					1	25.994	93.82	0
n	training	neutral	0	-0.145	-2.018	46					0	27.721	83.39	0
n	training	neutral	0.031	+0.370	-1.665	47					0	14.338	69.88	0
n	training	neutral	0	-0.124	-2.032	47					0	25.234	93.73	0
n	training	neutral	0	-0.103	-2.097	48					0	25.258	93.82	0
n	training	deleterious	0.737	+1.216	-1.658	48					0	3.251	62.99	0
n	validation	deleterious	0.883	+2.364	-2.038	48					0	1.694	67.31	0
n	training	neutral	0	+0.220	-2.536	49					0	20.070	93.82	0
n	training	neutral	0	+0.164	-2.247	48					0	32.277	93.82	0
n	training	neutral	0	-1.849	-3.445	48					0	37.219	93.82	0
n	training	neutral	0	+0.104	-1.798	48					0	25.450	93.73	0
n	training	neutral	0.004	+1.072	-2.244	48					0	7.172	93.73	0
n	training	neutral	0.246	+2.380	-2.137	49						1.861	93.82	0
n	training	neutral	0.025	+0.349	-1.345	50					0	30.033	77.92	1
n	validation	neutral	0	-0.028	-2.307	50					0	22.745	92.49	1
n	training	neutral	0	-1.124	-2.261	50					0	47.833	93.82	1
n	training	neutral	0.005	+0.460	-1.656	50					0	28.690	83.39	1
n	training	neutral	0.001	+0.391	-1.622	48					0	29.714	93.82	1
n	training	neutral	0	-0.528	-2.578	49					0	20.632	93.82	0
n	training	neutral	0	+0.163	-2.531	51					0	25.450	93.73	0
n	training	neutral	0	-1.423	-2.910	58					0	20.070	93.82	1
n	training	neutral	0.001	+0.034	-1.788	55					1	27.869	93.82	1
n	training	neutral	0	-0.854	-3.010	61					0	20.632	93.82	1
n	validation	neutral	0	-2.079	-3.341	62					0	25.994	93.82	1
n	training	neutral	0.001	+0.700	-1.699	57					0	29.294	92.49	1
n	validation	neutral	0	-1.402	-2.793	55					0	23.071	93.82	1
n	training	neutral	0	-0.634	-1.936	49	0.096	5	1.14	0.36	0	32.277	93.82	1
n	training	neutral	0	-0.858	-4.543	47	0.694	4	0.07	0.03	0	15.404	93.82	1
n	training	neutral	0	-0.212	-2.183	41	0.787	-25	0.34	0.58	0	20.613	93.73	0
n	training	neutral	0.017	+1.336	-2.521	40						2.464	93.82	0
n	training	neutral	0	+0.447	-1.656	45					0	25.450	93.73	0
n	validation	neutral	0	-0.430	-2.466	48					1	33.214	93.82	0
n	training	neutral	0	-0.924	-2.485	48					0	29.777	93.82	0
n	training	neutral	0	-0.265	-2.000	48					0	25.234	93.73	0
n	training	neutral	0	+0.027	-1.601	47					2	25.234	93.73	0
n	training	neutral	0.005	+1.373	-1.423	48					0	45.298	93.73	0
n	training	neutral	0	-0.115	-2.431	48					0	19.160	87.19	0
n	training	neutral	0	+0.199	-1.719	48					0	25.234	93.73	0
n	training	neutral	0	+0.025	-2.244	48						25.234	93.73	0
n	training	neutral	0	+0.075	-2.231	48					0	25.969	93.73	0
n	training	neutral	0	+0.846	-2.021	49					0	33.183	93.73	0
n	training	neutral	0	-0.064	-1.804	50					0	32.246	93.73	1
